gubun,code,name
1,026940,부국철강
1,027390,한화갤러리아타임월드
1,027410,BGF리테일
1,027740,마니커
1,027970,세하
1,028050,삼성엔지니어링
1,028100,동아지질
1,028260,제일모직
1,028670,팬오션
1,029460,케이씨텍
1,029530,신도리코
1,029780,삼성카드
1,030000,제일기획
1,030200,KT
1,030210,KTB투자증권
1,030610,교보증권
1,030720,동원수산
1,030790,동양네트웍스
1,031430,신세계인터내셔날
1,031440,신세계푸드
1,031820,콤텍시스템
1,032350,롯데관광개발
1,032560,황금에스티
1,032640,LG유플러스
1,032830,삼성생명
1,033180,필룩스
1,033240,자화전자
1,033250,체시스
1,033270,유나이티드제약
1,033530,세종공업
1,033660,아주캐피탈
1,033780,KT&G
1,033920,무학
1,034020,두산중공업
1,034120,SBS
1,034220,LG디스플레이
1,034300,신세계건설
1,034310,NICE
1,034590,인천도시가스
1,034730,SK
1,03473K,SK우
1,035000,GⅡR
1,035150,백산
1,035250,강원랜드
1,035420,NAVER
1,035510,신세계 I&C
1,036460,한국가스공사
1,036530,S&T홀딩스
1,036570,엔씨소프트
1,036580,팜스코
1,037270,YG PLUS
1,037560,CJ헬로비전
1,037620,미래에셋증권
1,037710,광주신세계
1,039130,하나투어
1,039490,키움증권
1,041650,상신브레이크
1,042660,대우조선해양
1,042670,두산인프라코어
1,042700,한미반도체
1,044380,주연테크
1,044450,KSS해운
1,044820,코스맥스비티아이
1,047040,대우건설
1,047050,대우인터내셔널
1,047400,쌍용머티리얼
1,047810,한국항공우주
1,049770,동원F&B
1,049800,우진플라임
1,051310,포스코플랜텍
1,051600,한전KPS
1,051630,진양화학
1,051900,LG생활건강
1,051905,LG생활건강우
1,051910,LG화학
1,051915,LG화학우
1,052690,한전기술
1,053210,스카이라이프
1,053690,한미글로벌
1,055550,신한지주
1,057050,현대홈쇼핑
1,058430,포스코강판
1,058650,세아홀딩스
1,058730,동아에스텍
1,058850,KTcs
1,058860,케이티스
1,060980,한라홀딩스
1,063160,종근당바이오
1,064350,현대로템
1,064960,S&T모티브
1,066570,LG전자
1,066575,LG전자우
1,067830,세이브존I&C
1,068290,삼성출판사
1,068400,AJ렌터카
1,068870,LG생명과학
1,068875,LG생명과학우
1,069260,휴켐스
1,069460,대호에이엘
1,069500,KODEX 200
1,069620,대웅제약
1,069640,엠케이트렌드
1,069660,KOSEF 200
1,069730,DSR제강
1,069960,현대백화점
1,071050,한국금융지주
1,071055,한국금융지주우
1,071090,하이스틸
1,071320,지역난방공사
1,071840,롯데하이마트
1,071950,코아스
1,071970,STX중공업
1,072130,유엔젤
1,072710,농심홀딩스
1,073240,금호타이어
1,074610,이엔쓰리
1,075180,새론오토모티브
1,077500,유니퀘스트
1,077970,STX엔진
1,078000,텔코웨어
1,078520,에이블씨엔씨
1,078930,GS
1,078935,GS우
1,079160,CJ CGV
1,079430,현대리바트
1,079660,사조해표
1,079980,휴비스
1,081000,일진다이아
1,081660,휠라코리아
1,082640,동양생명
1,082740,두산엔진
1,083350,동북아10호
1,083360,동북아11호
1,083370,동북아12호
1,083380,동북아13호
1,083390,동북아14호
1,083420,KPX그린케미칼
1,083570,아시아10호
1,083580,아시아11호
1,083590,아시아12호
1,083600,아시아13호
1,083610,아시아14호
1,083620,아시아15호
1,084010,대한제강
1,084670,동양고속
1,084680,이월드
1,084690,대상홀딩스
1,084695,대상홀딩스우
1,084870,베이직하우스
1,085310,엔케이
1,085620,미래에셋생명
1,086280,현대글로비스
1,086790,하나금융지주
1,088350,한화생명
1,088790,진도
1,088980,맥쿼리인프라
1,089470,현대EP
1,090080,평화산업
1,090350,노루페인트
1,090355,노루페인트우
1,090370,아비스타
1,090430,아모레퍼시픽
1,090435,아모레퍼시픽우
1,090970,코리아01호
1,090980,코리아02호
1,090990,코리아03호
1,091000,코리아04호
1,091090,세원셀론텍
1,091160,KODEX 반도체
1,091170,KODEX 은행
1,091180,KODEX 자동차
1,091210,TIGER KRX100
1,091220,TIGER 은행
1,091230,TIGER 반도체
1,092200,디아이씨
1,092220,KEC
1,092230,KPX홀딩스
1,092440,기신정기
1,092630,바다로3호
1,093050,LF
1,093230,이아이디
1,093240,에리트베이직
1,093370,후성
1,094280,효성ITX
1,094800,맵스리얼티1
1,095570,AJ네트웍스
1,095720,웅진씽크빅
1,096300,베트남개발1
1,096760,JW홀딩스
1,096770,SK이노베이션
1,096775,SK이노베이션우
1,097230,한진중공업
1,097710,TIGER 가치주
1,097720,TIGER 미드캡
1,097750,TREX 중소형가치
1,097950,CJ제일제당
1,097955,CJ제일제당 우
1,098560,TIGER 미디어통신
1,099140,KODEX China H
1,099340,하나니켈1호
1,099350,하나니켈2호
1,100220,비상교육
1,100250,진양홀딩스
1,100840,S&TC
1,100910,KOSEF KRX100
1,101060,SBS미디어홀딩스
1,101140,아티스
1,101280,KODEX Japan
1,102110,TIGER 200
1,102260,동성코퍼레이션
1,102280,쌍방울
1,102460,이연제약
1,102780,KODEX 삼성그룹
1,102960,KODEX 조선
1,102970,KODEX 증권
1,103130,웅진에너지
1,103140,풍산
1,103590,일진전기
1,104110,신성이엔지
1,104120,신성에프에이
1,104520,KOSEF 블루칩
1,104530,KOSEF 고배당
1,104700,한국철강
1,105010,TIGER 라틴
1,105190,KINDEX200
1,105270,KINDEX 성장대형F15
1,105560,KB금융
1,105630,한세실업
1,105780,KStar 5대그룹주
1,105840,우진
1,107560,GIANT 현대차그룹
1,107590,미원에스씨
1,108440,KINDEX 코스닥스타
1,108450,KINDEX 삼성그룹SW
1,108480,KStar 코스닥엘리트30
1,108590,TREX 200
1,108630,FIRST 스타우량
1,108670,LG하우시스
1,108675,LG하우시스우
1,109070,KGP
1,110570,넥솔론
1,111770,영원무역
1,112610,씨에스윈드
1,114090,GKL
1,114100,KStar 국고채
1,114260,KODEX 국고채
1,114460,KINDEX 국고채
1,114470,KOSEF 국고채
1,114800,KODEX 인버스
1,114820,TIGER 국채3
1,115390,락앤락
1,117460,KODEX 에너지화학
1,117580,대성에너지
1,117680,KODEX 철강
1,117690,TIGER 차이나
1,117700,KODEX 건설
1,117930,한진해운
1,118000,우리들휴브레인
1,119650,KC코트렐
1,120030,조선선재
1,120110,코오롱인더
1,120115,코오롱인더우
1,120210,GREAT SRI
1,121550,코크렙15호
1,122090,ARIRANG KOSPI50
1,122260,KOSEF 통안채
1,122390,TIGER 코스닥프리미어
1,122630,KODEX 레버리지
1,122900,아이마켓코리아
1,123310,TIGER 인버스
1,123320,TIGER 레버리지
1,123690,한국화장품
1,123700,SJM
1,123760,KStar 레버리지
1,126560,현대에이치씨엔
1,128820,대성산업
1,128940,한미약품
1,129260,인터지스
1,130660,한전산업
1,130680,TIGER 원유선물(H)
1,130730,KOSEF 단기자금
1,131890,KINDEX 삼성그룹EW
1,132030,KODEX 골드선물(H)
1,133690,TIGER 나스닥100
1,133820,화인베스틸
1,134380,미원화학
1,134790,팀스
1,136280,KODEX 소비재
1,136340,KStar 우량회사채
1,136490,선진
1,137610,TIGER 농산물선물(H)
1,137930,마이다스 커버드콜
1,137990,TIGER 그린
1,138040,메리츠금융지주
1,138230,KOSEF 달러선물
1,138250,엔에스쇼핑
1,138440,이코리아리츠
1,138490,코오롱플라스틱
1,138520,TIGER 삼성그룹
1,138530,TIGER LG그룹+
1,138540,TIGER 현대차그룹+
1,138910,KODEX 구리선물(H)
1,138920,KODEX 콩선물(H)
1,138930,BNK금융지주
1,139130,DGB금융지주
1,139200,하이골드2호
1,139220,TIGER 200 건설
1,139230,TIGER 200 중공업
1,139240,TIGER 200 철강소재
1,139250,TIGER 200 에너지화학
1,139260,TIGER 200 IT
1,139270,TIGER 200 금융
1,139280,TIGER 경기방어
1,139290,TIGER 200 경기소비재
1,139310,TIGER 금속선물(H)
1,139320,TIGER 금은선물(H)
1,139480,이마트
1,139660,KOSEF 달러인버스선물
1,140570,KStar 수출주
1,140580,KStar 우량업종
1,140700,KODEX 보험
1,140710,KODEX 운송
1,140890,트러스제7호
1,140910,광희리츠
1,140950,파워 K100
1,141240,ARIRANG K100EW
1,143460,KINDEX 밸류대형
1,143850,TIGER S&P500선물(H)
1,143860,TIGER 헬스케어
1,144600,KODEX 은선물(H)
1,144620,코오롱머티리얼
1,145210,세화아이엠씨
1,145270,케이탑리츠
1,145670,KINDEX 인버스
1,145850,TREX 펀더멘탈 200
1,145990,삼양사
1,145995,삼양사우
1,147970,TIGER 모멘텀
1,148020,KStar 200
1,148040,PIONEER SRI
1,148070,KOSEF 10년국고채
1,150460,TIGER 중국소비테마
1,152100,ARIRANG 200
1,152180,TIGER 생활필수품
1,152280,KOSEF 200 선물
1,152380,KODEX 10년국채선물
1,152500,KINDEX 레버리지
1,152550,한국ANKOR유전
1,152870,파워 K200
1,153130,KODEX 단기채권
1,153270,iKon 100
1,153360,하이골드3호
1,155660,DSR
1,155900,바다로19호
1,156080,KODEX MSCI KOREA
1,157450,TIGER 유동자금
1,157490,TIGER 소프트웨어
1,157500,TIGER 증권
1,157510,TIGER 자동차
1,157520,TIGER 화학
1,157650,KStar 5대그룹주장기
1,159650,하이골드8호
1,159800,마이티 K100
1,160580,TIGER 구리실물
1,161000,애경유화
1,161390,한국타이어
1,161490,ARIRANG 방어주
1,161500,ARIRANG 주도주
1,161510,ARIRANG 고배당주
1,161890,한국콜마
1,163560,동일고무벨트
1,166400,TIGER 커버드C200
1,167860,KOSEF 10년국고채 레
1,168300,KTOP50
1,168490,한국패러랠
1,168580,KINDEX 중국본토CSI30
1,169950,KODEX 중국본토 A50
1,170350,TIGER 베타플러스
1,170900,동아에스티
1,172580,하이골드12호
1,174350,TIGER 로우볼
1,174360,KStar 중국본토 CSI10
1,175330,JB금융지주
1,176710,파워 국고채
1,176950,KODEX 인버스국채선물
1,180640,한진칼
1,18064K,한진칼우
1,181450,KINDEX 선진국하이일
1,181480,KINDEX 미국리츠부동
1,181710,NHN엔터테인먼트
1,182480,TIGER US리츠(합성 H)
1,182490,TIGER 단기선진하이일
1,183190,아세아시멘트
1,183700,KStar 채권혼합
1,183710,KStar 주식혼합
1,185680,KODEX 미국바이오(합
1,185750,종근당
1,189400,ARIRANG AC 월드(합성
1,190150,ARIRANG 바벨 채권
1,190160,ARIRANG 단기유동성
1,190620,KINDEX 단기자금
1,192090,TIGER 차이나A300
1,192400,쿠쿠전자
1,192530,광주은행
1,192720,파워고배당저변동성
1,192820,코스맥스
1,195920,TIGER 일본(합성 H)
1,195930,TIGER 유로스탁스50(
1,195970,ARIRANG 선진국(합성
1,195980,ARIRANG 신흥국(합성
1,196030,KINDEX 일본레버리지(
1,196220,KStar 일본레버리지(H
1,196230,KStar 단기통안채
1,200020,KODEX 미국IT(합성)
1,200030,KODEX 미국산업재(합
1,200040,KODEX 미국금융(합성)
1,200050,KODEX MSCI독일(합성)
1,200250,KOSEF 인디아(합성)
1,200880,한일이화
1,203780,TIGER 나스닥바이오
1,204320,만도
1,204420,ARIRANG 차이나H 레버
1,204450,KODEX China H 레버리
1,204480,TIGER 차이나A레버리
1,205720,KINDEX 일본인버스(합
1,208470,SMART MSCI선진국(합
1,210540,디와이파워
1,210780,TIGER 코스피고배당
1,210980,에스케이디앤디
1,211210,마이티 코스피고배당
1,211260,KINDEX 배당성장
1,211560,TIGER 배당성장
1,211900,KODEX 배당성장
