Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2003-05-23,11200.01,11299.97,11049.97,11200.01,541400,13823.99,14016.10166666662,13713.293333333357,14795.143416666659,16577.296124999983
2003-05-26,11200.01,12849.96,11200.01,12849.96,4670200,15860.49,14069.587333333287,13693.749333333357,14783.314499999991,16568.29583333332
2003-05-27,13000.01,13000.01,12149.99,12500.02,1722300,15428.56,14090.15866666662,13679.349833333357,14768.400583333327,16554.92441666665
2003-05-28,13000.01,13350.04,12800.03,12800.03,2513000,15798.86,14118.960999999954,13681.40766666669,14754.00116666666,16548.49595833332
2003-05-29,12700.0,12899.98,12300.03,12750.01,1241600,15737.12,14160.102999999954,13699.92266666669,14736.001333333326,16538.467583333317
2003-05-30,12700.0,13000.01,12599.97,12599.97,943600,15551.92,14201.244999999955,13718.436000000023,14719.029583333326,16521.495874999982
2003-06-02,12700.0,13350.04,12649.98,13000.01,1659800,16045.69,14267.073999999955,13754.435500000023,14711.829833333326,16506.581541666652
2003-06-03,12899.98,13399.97,12849.96,13149.98,1333900,16230.79,14355.52866666662,13817.177833333357,14706.172583333328,16492.181249999983
2003-06-04,13449.99,13500.0,12899.98,13050.02,681600,16107.42,14448.101999999953,13899.464000000025,14696.40141666666,16478.55299999998
2003-06-05,13649.97,14050.01,13350.04,13350.04,1770900,16477.73,14561.246666666619,13999.031000000025,14689.71616666666,16463.381874999985
2003-06-06,13350.04,13350.04,13350.04,13350.04,0,16477.73,14700.310666666619,14072.471500000023,14688.68816666666,16442.810749999986
2003-06-09,13600.03,13850.03,13399.97,13800.02,1191000,17033.13,14838.138666666619,14166.07216666669,14702.059583333325,16422.239624999984
2003-06-10,13699.99,13850.03,13550.02,13699.99,585700,16909.66,14940.994333333285,14229.843333333358,14720.059333333325,16394.982374999985
2003-06-11,13850.03,13899.97,13399.97,13500.0,757800,16662.83,15021.22466666662,14274.072333333357,14736.00216666666,16365.66816666665
2003-06-12,13600.03,13750.0,13300.02,13750.0,842900,16971.39,15111.740333333288,14317.272333333358,14756.058833333323,16339.18254166665
2003-06-13,13899.97,14000.0,13550.02,13699.99,741800,16909.66,15210.48366666662,14356.356833333359,14776.629999999988,16312.439708333319
2003-06-16,13699.99,13800.02,13399.97,13550.02,619300,16724.56,15303.056999999953,14396.47183333336,14798.74449999999,16286.211333333318
2003-06-17,14000.0,14250.0,13800.02,13800.02,1416700,17033.13,15389.457333333288,14465.38583333336,14823.430416666653,16262.039916666652
2003-06-18,14050.01,14650.04,14000.0,14449.98,1667000,17835.36,15500.54066666662,14542.527666666692,14854.801583333321,16241.211124999983
2003-06-19,14800.01,14900.04,14449.98,14800.01,1407800,18267.4,15626.02533333329,14635.099500000028,14885.144749999987,16222.182499999984
2003-06-20,14499.99,14600.02,14300.01,14499.99,608800,17897.1,15749.452333333289,14722.528666666693,14905.201499999988,16199.039583333319
