Date,Open,High,Low,Close,Volume,Adj Close,MA20,MA200
2012-11-02,48000.0,48199.99,47050.03,47699.99,579400,59225.0,60382.81000000001,61534.10149999994
2012-11-05,47699.99,48100.04,47649.98,47800.02,250300,59349.2,60385.915,61516.71899999994
2012-11-06,47599.96,48050.02,47599.96,47949.99,193500,59535.4,60379.704999999994,61498.40499999994
2012-11-07,47949.99,48100.04,47099.97,47849.96,372000,59411.2,60416.94999999999,61459.604499999936
2012-11-08,47099.97,47599.96,47050.03,47050.03,290700,58418.0,60410.74499999998,61401.558999999936
2012-11-09,46800.04,48449.98,46599.97,48199.99,419800,59845.8,60485.23999999999,61355.61899999994
2012-11-12,48300.02,48399.97,47399.98,47649.98,194600,59162.9,60547.319999999985,61304.402499999946
2012-11-13,47849.96,47849.96,46399.99,47450.0,325400,58914.6,60500.75999999999,61260.635499999946
2012-11-14,47399.98,47399.98,46700.0,47149.98,235100,58542.1,60339.34999999999,61198.86499999995
2012-11-15,46800.04,46800.04,46049.96,46300.04,279100,57486.8,60125.17499999999,61129.33499999994
