,volume,value,sojinrate,high,covolume,l_change,o_diff,marketcap,low,h_sign,chdegree,shcode,o_change,l_diff,diff,date,open,sign,h_diff,h_change,ppvolume,l_sign,changerate,fpvolume,o_sign,change,close,diff_vol
55,168206,1505,7.39,9190,1406,-270,-1.91,249987,8610,2,102.11,000020,-170,-3.04,0.79,20150615,8710,2,3.49,310,-25470,5,0.60,30064,5,70,8950,-16.82
56,202208,1831,7.29,9440,0,-400,0.00,248031,8880,2,35.12,000020,0,-4.31,-4.31,20150612,9280,5,1.72,160,-13280,5,0.72,13780,3,400,8880,72.26
57,117385,1083,7.31,9360,-212,-50,2.63,259204,9060,2,163.36,000020,240,-0.55,1.87,20150611,9350,2,2.74,250,-5837,5,0.42,10749,2,170,9280,-47.56
58,223830,2071,7.27,9500,-829,-400,1.60,254456,8950,2,50.32,000020,150,-4.28,-2.57,20150610,9500,5,1.60,150,14905,5,0.80,18574,2,240,9110,102.34
59,110623,1034,7.16,9490,93,-70,-0.76,261159,9200,2,120.16,000020,-70,-0.76,0.86,20150609,9200,2,2.37,220,10880,5,0.40,8046,5,80,9350,-43.12
60,194483,1816,7.13,9580,147,-300,-1.05,258925,9190,2,49.99,000020,-100,-3.16,-2.32,20150608,9390,5,0.95,90,9130,5,0.70,-11653,5,220,9270,13.45
61,171427,1631,7.17,9700,-1333,-50,0.11,265070,9400,2,95.59,000020,10,-0.53,0.42,20150605,9460,2,2.65,250,-4802,5,0.61,-6488,2,40,9490,-39.71
62,284356,2726,7.20,9930,1474,-500,0.00,263952,9370,2,41.94,000020,0,-5.07,-4.26,20150604,9870,5,0.61,60,-39034,5,1.02,15754,3,420,9450,-50.22
63,571204,5699,7.14,10400,11140,-670,-2.40,275684,9730,3,43.06,000020,-250,-6.44,-5.10,20150603,10150,5,0.00,0,-24072,5,2.05,30782,5,530,9870,-51.65
64,1181302,12175,7.03,10800,11361,30,0.83,290487,9710,2,164.33,000020,80,0.31,7.44,20150602,9760,2,11.57,1120,27598,2,4.23,-1923,2,720,10400,233.80
65,353896,3399,7.04,9880,2113,-110,1.49,270377,9260,2,117.31,000020,140,-1.17,3.31,20150601,9510,2,5.44,510,-2844,5,1.27,11144,2,310,9680,83.27
66,193097,1820,7.00,9580,24,-130,0.00,261718,9330,2,76.06,000020,0,-1.37,-0.95,20150529,9460,5,1.27,120,17842,5,0.69,-27919,3,90,9370,-14.56
67,225990,2118,7.10,9510,8738,30,1.10,264232,9160,2,115.75,000020,100,0.33,3.61,20150528,9230,2,4.16,380,-37016,2,0.81,13279,2,330,9460,-20.81
68,285377,2619,7.05,9510,0,-470,-0.11,255014,9040,3,28.58,000020,-10,-4.94,-4.00,20150527,9500,5,0.00,0,-11732,5,1.02,11842,5,380,9130,-9.07
69,313847,2963,7.01,9660,0,-110,0.43,265628,9250,2,76.57,000020,40,-1.18,1.60,20150526,9400,2,3.21,300,-59786,5,1.12,56775,2,150,9510,-52.42
70,659586,6290,6.80,9950,-476,-490,0.71,261439,9360,2,46.97,000020,70,-4.97,-4.97,20150522,9920,5,1.02,100,-49563,5,2.36,19899,2,490,9360,-48.30
71,1275772,12910,6.73,10650,93,-100,1.62,275125,9790,2,76.74,000020,160,-1.01,-0.40,20150521,10050,5,7.68,760,59164,5,4.57,-18380,2,40,9850,-27.41
